CODIGO DANE,DEPARTAMENTO,MUNICIPIO
99,OTRO,NO RESIDENTE EN EL PAIS
5001,ANTIOQUIA,MEDELLIN
5002,ANTIOQUIA,ABEJORRAL
5004,ANTIOQUIA,ABRIAQUI
5021,ANTIOQUIA,ALEJANDRIA
5030,ANTIOQUIA,AMAGA
5031,ANTIOQUIA,AMALFI
5034,ANTIOQUIA,ANDES
5036,ANTIOQUIA,ANGELOPOLIS
5038,ANTIOQUIA,ANGOSTURA
5040,ANTIOQUIA,ANORI
5042,ANTIOQUIA,SANTAFE DE ANTIOQUIA
5044,ANTIOQUIA,ANZA
5045,ANTIOQUIA,APARTADO
5051,ANTIOQUIA,ARBOLETES
5055,ANTIOQUIA,ARGELIA
5059,ANTIOQUIA,ARMENIA
5079,ANTIOQUIA,BARBOSA
5086,ANTIOQUIA,BELMIRA
5088,ANTIOQUIA,BELLO
5091,ANTIOQUIA,BETANIA
5093,ANTIOQUIA,BETULIA
5101,ANTIOQUIA,CIUDAD BOLIVAR
5107,ANTIOQUIA,BRICEÑO
5113,ANTIOQUIA,BURITICA
5120,ANTIOQUIA,CACERES
5125,ANTIOQUIA,CAICEDO
5129,ANTIOQUIA,CALDAS
5134,ANTIOQUIA,CAMPAMENTO
5138,ANTIOQUIA,CAÑASGORDAS
5142,ANTIOQUIA,CARACOLI
5145,ANTIOQUIA,CARAMANTA
5147,ANTIOQUIA,CAREPA
5148,ANTIOQUIA,EL CARMEN DE VIBORAL
5150,ANTIOQUIA,CAROLINA
5154,ANTIOQUIA,CAUCASIA
5172,ANTIOQUIA,CHIGORODO
5190,ANTIOQUIA,CISNEROS
5197,ANTIOQUIA,COCORNA
5206,ANTIOQUIA,CONCEPCION
5209,ANTIOQUIA,CONCORDIA
5212,ANTIOQUIA,COPACABANA
5234,ANTIOQUIA,DABEIBA
5237,ANTIOQUIA,DON MATIAS
5240,ANTIOQUIA,EBEJICO
5250,ANTIOQUIA,EL BAGRE
5264,ANTIOQUIA,ENTRERRIOS
5266,ANTIOQUIA,ENVIGADO
5282,ANTIOQUIA,FREDONIA
5284,ANTIOQUIA,FRONTINO
5306,ANTIOQUIA,GIRALDO
5308,ANTIOQUIA,GIRARDOTA
5310,ANTIOQUIA,GOMEZ PLATA
5313,ANTIOQUIA,GRANADA
5315,ANTIOQUIA,GUADALUPE
5318,ANTIOQUIA,GUARNE
5321,ANTIOQUIA,GUATAPE
5347,ANTIOQUIA,HELICONIA
5353,ANTIOQUIA,HISPANIA
5360,ANTIOQUIA,ITAGÜI
5361,ANTIOQUIA,ITUANGO
5364,ANTIOQUIA,JARDIN
5368,ANTIOQUIA,JERICO
5376,ANTIOQUIA,LA CEJA
5380,ANTIOQUIA,LA ESTRELLA
5390,ANTIOQUIA,LA PINTADA
5400,ANTIOQUIA,LA UNION
5411,ANTIOQUIA,LIBORINA
5425,ANTIOQUIA,MACEO
5440,ANTIOQUIA,MARINILLA
5467,ANTIOQUIA,MONTEBELLO
5475,ANTIOQUIA,MURINDO
5480,ANTIOQUIA,MUTATA
5483,ANTIOQUIA,NARIÑO
5490,ANTIOQUIA,NECOCLI
5495,ANTIOQUIA,NECHI
5501,ANTIOQUIA,OLAYA
5541,ANTIOQUIA,PEÑOL
5543,ANTIOQUIA,PEQUE
5576,ANTIOQUIA,PUEBLORRICO
5579,ANTIOQUIA,PUERTO BERRIO
5585,ANTIOQUIA,PUERTO NARE
5591,ANTIOQUIA,PUERTO TRIUNFO
5604,ANTIOQUIA,REMEDIOS
5607,ANTIOQUIA,RETIRO
5615,ANTIOQUIA,RIONEGRO
5628,ANTIOQUIA,SABANALARGA
5631,ANTIOQUIA,SABANETA
5642,ANTIOQUIA,SALGAR
5647,ANTIOQUIA,SAN ANDRES
5649,ANTIOQUIA,SAN CARLOS
5652,ANTIOQUIA,SAN FRANCISCO
5656,ANTIOQUIA,SAN JERONIMO
5658,ANTIOQUIA,SAN JOSE DE LA MONTAÑA
5659,ANTIOQUIA,SAN JUAN DE URABA
5660,ANTIOQUIA,SAN LUIS
5664,ANTIOQUIA,SAN PEDRO
5665,ANTIOQUIA,SAN PEDRO DE URABA
5667,ANTIOQUIA,SAN RAFAEL
5670,ANTIOQUIA,SAN ROQUE
5674,ANTIOQUIA,SAN VICENTE
5679,ANTIOQUIA,SANTA BARBARA
5686,ANTIOQUIA,SANTA ROSA DE OSOS
5690,ANTIOQUIA,SANTO DOMINGO
5697,ANTIOQUIA,EL SANTUARIO
5736,ANTIOQUIA,SEGOVIA
5756,ANTIOQUIA,SONSON
5761,ANTIOQUIA,SOPETRAN
5789,ANTIOQUIA,TAMESIS
5790,ANTIOQUIA,TARAZA
5792,ANTIOQUIA,TARSO
5809,ANTIOQUIA,TITIRIBI
5819,ANTIOQUIA,TOLEDO
5837,ANTIOQUIA,TURBO
5842,ANTIOQUIA,URAMITA
5847,ANTIOQUIA,URRAO
5854,ANTIOQUIA,VALDIVIA
5856,ANTIOQUIA,VALPARAISO
5858,ANTIOQUIA,VEGACHI
5861,ANTIOQUIA,VENECIA
5873,ANTIOQUIA,VIGIA DEL FUERTE
5885,ANTIOQUIA,YALI
5887,ANTIOQUIA,YARUMAL
5890,ANTIOQUIA,YOLOMBO
5893,ANTIOQUIA,YONDO
5895,ANTIOQUIA,ZARAGOZA
8001,ATLANTICO,BARRANQUILLA
8078,ATLANTICO,BARANOA
8137,ATLANTICO,CAMPO DE LA CRUZ
8141,ATLANTICO,CANDELARIA
8296,ATLANTICO,GALAPA
8372,ATLANTICO,JUAN DE ACOSTA
8421,ATLANTICO,LURUACO
8433,ATLANTICO,MALAMBO
8436,ATLANTICO,MANATÍ
8520,ATLANTICO,PALMAR DE VARELA
8549,ATLANTICO,PIOJÓ
8558,ATLANTICO,POLONUEVO
8560,ATLANTICO,PONEDERA
8573,ATLANTICO,PUERTO COLOMBIA
8606,ATLANTICO,REPELÓN
8634,ATLANTICO,SABANAGRANDE
8638,ATLANTICO,SABANALARGA
8675,ATLANTICO,SANTA LUCÍA
8685,ATLANTICO,SANTO TOMAS
8758,ATLANTICO,SOLEDAD
8770,ATLANTICO,SUAN
8832,ATLANTICO,TUBARÁ
8849,ATLANTICO,USIACURÍ
11001,BOGOTA D.C.,BOGOTÁ D.C.
13001,BOLIVAR,CARTAGENA
13006,BOLIVAR,ACHÍ
13030,BOLIVAR,ALTOS DEL ROSARIO
13042,BOLIVAR,ARENAL
13052,BOLIVAR,ARJONA
13062,BOLIVAR,ARROYOHONDO
13074,BOLIVAR,BARRANCO DE LOBA
13140,BOLIVAR,CALAMAR
13160,BOLIVAR,CANTAGALLO
13188,BOLIVAR,CICUCO
13212,BOLIVAR,CÓRDOBA
13222,BOLIVAR,CLEMENCIA
13244,BOLIVAR,EL CARMEN DE BOLÍVAR
13248,BOLIVAR,EL GUAMO
13268,BOLIVAR,EL PEÑÓN
13300,BOLIVAR,HATILLO DE LOBA
13430,BOLIVAR,MAGANGUÉ
13433,BOLIVAR,MAHATES
13440,BOLIVAR,MARGARITA
13442,BOLIVAR,MARÍA LA BAJA
13458,BOLIVAR,MONTECRISTO
13468,BOLIVAR,MOMPÓS
13473,BOLIVAR,MORALES
13490,BOLIVAR,NOROSI
13549,BOLIVAR,PINILLOS
13580,BOLIVAR,REGIDOR
13600,BOLIVAR,RÍO VIEJO
13620,BOLIVAR,SAN CRISTOBAL
13647,BOLIVAR,SAN ESTANISLAO
13650,BOLIVAR,SAN FERNANDO
13654,BOLIVAR,SAN JACINTO
13655,BOLIVAR,SAN JACINTO DEL CAUCA
13657,BOLIVAR,SAN JUAN NEPOMUCENO
13667,BOLIVAR,SAN MARTÍN DE LOBA
13670,BOLIVAR,SAN PABLO
13673,BOLIVAR,SANTA CATALINA
13683,BOLIVAR,SANTA ROSA
13688,BOLIVAR,SANTA ROSA DEL SUR
13744,BOLIVAR,SIMITÍ
13760,BOLIVAR,SOPLAVIENTO
13780,BOLIVAR,TALAIGUA NUEVO
13810,BOLIVAR,TIQUISIO
13836,BOLIVAR,TURBACO
13838,BOLIVAR,TURBANÁ
13873,BOLIVAR,VILLANUEVA
13894,BOLIVAR,ZAMBRANO
15001,BOYACA,TUNJA
15022,BOYACA,ALMEIDA
15047,BOYACA,AQUITANIA
15051,BOYACA,ARCABUCO
15087,BOYACA,BELÉN
15090,BOYACÁ,BERBEO
15092,BOYACA,BETÉITIVA
15097,BOYACA,BOAVITA
15104,BOYACA,BOYACÁ
15106,BOYACA,BRICEÑO
15109,BOYACA,BUENAVISTA
15114,BOYACA,BUSBANZÁ
15131,BOYACA,CALDAS
15135,BOYACA,CAMPOHERMOSO
15162,BOYACA,CERINZA
15172,BOYACA,CHINAVITA
15176,BOYACA,CHIQUINQUIRÁ
15180,BOYACA,CHISCAS
15183,BOYACA,CHITA
15185,BOYACA,CHITARAQUE
15187,BOYACA,CHIVATÁ
15189,BOYACA,CIENEGA
15204,BOYACA,COMBITA
15212,BOYACA,COPER
15215,BOYACA,CORRALES
15218,BOYACA,COVARACHÍA
15223,BOYACA,CUBARÁ
15224,BOYACA,CUCAITA
15226,BOYACA,CUITIIVA
15232,BOYACA,CHIQUIZA
15236,BOYACA,CHIVOR
15238,BOYACA,DUITAMA
15244,BOYACA,EL COCUY
15248,BOYACA,EL ESPINO
15272,BOYACA,FIRAVITOBA
15276,BOYACA,FLORESTA
15293,BOYACA,GACHANTIVÁ
15296,BOYACA,GAMEZA
15299,BOYACA,GARAGOA
15317,BOYACA,GUACAMAYAS
15322,BOYACA,GUATEQUE
15325,BOYACA,GUAYATÁ
15332,BOYACA,GÜICÁN
15362,BOYACA,IZA
15367,BOYACA,JENESANO
15368,BOYACA,JERICÓ
15377,BOYACA,LABRANZAGRANDE
15380,BOYACA,LA CAPILLA
15401,BOYACA,LA VICTORIA
15403,BOYACA,LA UVITA
15407,BOYACA,VILLA DE LEYVA
15425,BOYACA,MACANAL
15442,BOYACA,MARIPÍ
15455,BOYACA,MIRAFLORES
15464,BOYACA,MONGUA
15466,BOYACA,MONGUÍ
15469,BOYACA,MONIQUIRÁ
15476,BOYACA,MOTAVITA
15480,BOYACA,MUZO
15491,BOYACA,NOBSA
15494,BOYACA,NUEVO COLÓN
15500,BOYACA,OICATA
15507,BOYACA,OTANCHE
15511,BOYACA,PACHAVITA
15514,BOYACA,PAEZ
15516,BOYACA,PAIPA
15518,BOYACA,PAJARITO
15522,BOYACA,PANQUEBA
15531,BOYACA,PAUNA
15533,BOYACA,PAYA
15537,BOYACA,PAZ DE RÍO
15542,BOYACA,PESCA
15550,BOYACA,PISBA
15572,BOYACA,PUERTO BOYACÁ
15580,BOYACA,QUIPAMA
15599,BOYACA,RAMIRIQUÍ
15600,BOYACA,RAQUIRA
15621,BOYACA,RONDÓN
15632,BOYACA,SABOYÁ
15638,BOYACA,SACHICA
15646,BOYACA,SAMACÁ
15660,BOYACA,SAN EDUARDO
15664,BOYACA,SAN JOSÉ DE PARE
15667,BOYACA,SAN LUIS DE GACENO
15673,BOYACA,SAN MATEO
15676,BOYACA,SAN MIGUEL DE SEMA
15681,BOYACA,SAN PABLO BORBUR
15686,BOYACA,SANTANA
15690,BOYACA,SANTA MARÍA
15693,BOYACA,SANTA ROSA DE VITERBO
15696,BOYACA,SANTA SOFÍA
15720,BOYACA,SATIVANORTE
15723,BOYACA,SATIVASUR
15740,BOYACA,SIACHOQUE
15753,BOYACA,SOATÁ
15755,BOYACA,SOCOTÁ
15757,BOYACA,SOCHA
15759,BOYACA,SOGAMOSO
15761,BOYACA,SOMONDOCO
15762,BOYACA,SORA
15763,BOYACA,SOTAQUIRÁ
15764,BOYACA,SORACÁ
15774,BOYACA,SUSACÓN
15776,BOYACA,SUTAMARCHÁN
15778,BOYACA,SUTATENZA
15790,BOYACA,TASCO
15798,BOYACA,TENZA
15804,BOYACA,TIBANÁ
15806,BOYACA,TIBASOSA
15808,BOYACA,TINJACÁ
15810,BOYACA,TIPACOQUE
15814,BOYACA,TOCA
15816,BOYACA,TOGÜÍ
15820,BOYACA,TOPAGA
15822,BOYACA,TOTA
15832,BOYACA,TUNUNGUÁ
15835,BOYACA,TURMEQUÉ
15837,BOYACA,TUTA
15839,BOYACA,TUTASÁ
15842,BOYACA,UMBITA
15861,BOYACA,VENTAQUEMADA
15879,BOYACA,VIRACACHÁ
15897,BOYACA,ZETAQUIRA
17001,CALDAS,MANIZALES
17013,CALDAS,AGUADAS
17042,CALDAS,ANSERMA
17050,CALDAS,ARANZAZU
17088,CALDAS,BELALCÁZAR
17174,CALDAS,CHINCHINÁ
17272,CALDAS,FILADELFIA
17380,CALDAS,LA DORADA
17388,CALDAS,LA MERCED
17433,CALDAS,MANZANARES
17442,CALDAS,MARMATO
17444,CALDAS,MARQUETALIA
17446,CALDAS,MARULANDA
17486,CALDAS,NEIRA
17495,CALDAS,NORCASIA
17513,CALDAS,PÁCORA
17524,CALDAS,PALESTINA
17541,CALDAS,PENSILVANIA
17614,CALDAS,RIOSUCIO
17616,CALDAS,RISARALDA
17653,CALDAS,SALAMINA
17662,CALDAS,SAMANÁ
17665,CALDAS,SAN JOSÉ
17777,CALDAS,SUPÍA
17867,CALDAS,VICTORIA
17873,CALDAS,VILLAMARÍA
17877,CALDAS,VITERBO
18001,CAQUETÁ,FLORENCIA
18029,CAQUETÁ,ALBANIA
18094,CAQUETÁ,BELÉN DE LOS ANDAQUÍES
18150,CAQUETÁ,CARTAGENA DEL CHAIRÁ
18205,CAQUETÁ,CURRILLO
18247,CAQUETÁ,EL DONCELLO
18256,CAQUETÁ,EL PAUJIL
18410,CAQUETÁ,LA MONTAÑITA
18460,CAQUETÁ,MILÁN
18479,CAQUETÁ,MORELIA
18592,CAQUETÁ,PUERTO RICO
18610,CAQUETÁ,SAN JOSÉ DE LA FRAGUA
18753,CAQUETÁ,SAN VICENTE DEL CAGUÁN
18756,CAQUETÁ,SOLANO
18785,CAQUETÁ,SOLITA
18860,CAQUETÁ,VALPARAÍSO
19001,CAUCA,POPAYÁN
19022,CAUCA,ALMAGUER
19050,CAUCA,ARGELIA
19075,CAUCA,BALBOA
19100,CAUCA,BOLÍVAR
19110,CAUCA,BUENOS AIRES
19130,CAUCA,CAJIBÍO
19137,CAUCA,CALDONO
19142,CAUCA,CALOTO
19212,CAUCA,CORINTO
19256,CAUCA,EL TAMBO
19290,CAUCA,FLORENCIA
19300,CAUCA,GUACHENE
19318,CAUCA,GUAPI
19355,CAUCA,INZÁ
19364,CAUCA,JAMBALÓ
19392,CAUCA,LA SIERRA
19397,CAUCA,LA VEGA
19418,CAUCA,LÓPEZ
19450,CAUCA,MERCADERES
19455,CAUCA,MIRANDA
19473,CAUCA,MORALES
19513,CAUCA,PADILLA
19517,CAUCA,PÁEZ
19532,CAUCA,PATÍA
19533,CAUCA,PIAMONTE
19548,CAUCA,PIENDAMÓ
19573,CAUCA,PUERTO TEJADA
19585,CAUCA,PURACÉ
19622,CAUCA,ROSAS
19693,CAUCA,SAN SEBASTIÁN
19698,CAUCA,SANTANDER DE QUILICHAO
19701,CAUCA,SANTA ROSA
19743,CAUCA,SILVIA
19760,CAUCA,SOTARÁ
19780,CAUCA,SUÁREZ
19785,CAUCA,SUCRE
19807,CAUCA,TIMBÍO
19809,CAUCA,TIMBIQUÍ
19821,CAUCA,TORIBÍO
19824,CAUCA,TOTORÓ
19845,CAUCA,VILLA RICA
20001,CESAR,VALLEDUPAR
20011,CESAR,AGUACHICA
20013,CESAR,AGUSTÍN CODAZZI
20032,CESAR,ASTREA
20045,CESAR,BECERRIL
20060,CESAR,BOSCONIA
20175,CESAR,CHIMICHAGUA
20178,CESAR,CHIRIGUANÁ
20228,CESAR,CURUMANÍ
20238,CESAR,EL COPEY
20250,CESAR,EL PASO
20295,CESAR,GAMARRA
20310,CESAR,GONZÁLEZ
20383,CESAR,LA GLORIA
20400,CESAR,LA JAGUA DE IBIRICO
20443,CESAR,MANAURE
20517,CESAR,PAILITAS
20550,CESAR,PELAYA
20570,CESAR,PUEBLO BELLO
20614,CESAR,RÍO DE ORO
20621,CESAR,LA PAZ
20710,CESAR,SAN ALBERTO
20750,CESAR,SAN DIEGO
20770,CESAR,SAN MARTÍN
20787,CESAR,TAMALAMEQUE
23001,CÓRDOBA,MONTERÍA
23068,CÓRDOBA,AYAPEL
23079,CÓRDOBA,BUENAVISTA
23090,CÓRDOBA,CANALETE
23162,CÓRDOBA,CERETÉ
23168,CÓRDOBA,CHIMA
23182,CÓRDOBA,CHINÚ
23189,CÓRDOBA,CIÉNAGA DE ORO
23300,CÓRDOBA,COTORRA
23350,CÓRDOBA,LA APARTADA
23417,CÓRDOBA,LORICA
23419,CÓRDOBA,LOS CÓRDOBAS
23464,CÓRDOBA,MOMIL
23466,CÓRDOBA,MONTELÍBANO
23500,CÓRDOBA,MOÑITOS
23555,CÓRDOBA,PLANETA RICA
23570,CÓRDOBA,PUEBLO NUEVO
23574,CÓRDOBA,PUERTO ESCONDIDO
23580,CÓRDOBA,PUERTO LIBERTADOR
23586,CÓRDOBA,PURÍSIMA
23660,CÓRDOBA,SAHAGÚN
23670,CÓRDOBA,SAN ANDRÉS DE SOTAVET0
23672,CÓRDOBA,SAN ANTERO
23675,CÓRDOBA,SAN BERNARDO DEL VIENTO
23678,CÓRDOBA,SAN CARLOS
23682,CORDOBA,SAN JOSE DE URE
23686,CÓRDOBA,SAN PELAYO
23807,CÓRDOBA,TIERRALTA
23815,CORDOBA,TUCHIN
23855,CÓRDOBA,VALENCIA
23991,CORDOBA,ZZZCERROMATOSO
25001,CUNDINAMARCA,AGUA DE DIOS
25019,CUNDINAMARCA,ALBÁN
25035,CUNDINAMARCA,ANAPOIMA
25040,CUNDINAMARCA,ANOLAIMA
25053,CUNDINAMARCA,ARBELÁEZ
25086,CUNDINAMARCA,BELTRÁN
25095,CUNDINAMARCA,BITUIMA
25099,CUNDINAMARCA,BOJACÁ
25120,CUNDINAMARCA,CABRERA
25123,CUNDINAMARCA,CACHIPAY
25126,CUNDINAMARCA,CAJICÁ
25148,CUNDINAMARCA,CAPARRAPÍ
25151,CUNDINAMARCA,CÁQUEZA
25154,CUNDINAMARCA,CARMEN DE CARUPA
25168,CUNDINAMARCA,CHAGUANÍ
25175,CUNDINAMARCA,CHÍA
25178,CUNDINAMARCA,CHIPAQUE
25181,CUNDINAMARCA,CHOACHÍ
25183,CUNDINAMARCA,CHOCONTÁ
25200,CUNDINAMARCA,COGUA
25214,CUNDINAMARCA,COTA
25224,CUNDINAMARCA,CUCUNUBÁ
25245,CUNDINAMARCA,EL COLEGIO
25258,CUNDINAMARCA,EL PEÑÓN
25260,CUNDINAMARCA,EL ROSAL
25269,CUNDINAMARCA,FACATATIVÁ
25279,CUNDINAMARCA,FÓMEQUE
25281,CUNDINAMARCA,FOSCA
25286,CUNDINAMARCA,FUNZA
25288,CUNDINAMARCA,FÚQUENE
25290,CUNDINAMARCA,FUSAGASUGÁ
25293,CUNDINAMARCA,GACHALÁ
25295,CUNDINAMARCA,GACHANCIPÁ
25297,CUNDINAMARCA,GACHETÁ
25299,CUNDINAMARCA,GAMA
25307,CUNDINAMARCA,GIRARDOT
25312,CUNDINAMARCA,GRANADA
25317,CUNDINAMARCA,GUACHETÁ
25320,CUNDINAMARCA,GUADUAS
25322,CUNDINAMARCA,GUASCA
25324,CUNDINAMARCA,GUATAQUÍ
25326,CUNDINAMARCA,GUATAVITA
25328,CUNDINAMARCA,GUAYABAL DE SÍQUIMA
25335,CUNDINAMARCA,GUAYABETAL
25339,CUNDINAMARCA,GUTIÉRREZ
25368,CUNDINAMARCA,JERUSALÉN
25372,CUNDINAMARCA,JUNÍN
25377,CUNDINAMARCA,LA CALERA
25386,CUNDINAMARCA,LA MESA
25394,CUNDINAMARCA,LA PALMA
25398,CUNDINAMARCA,LA PEÑA
25402,CUNDINAMARCA,LA VEGA
25407,CUNDINAMARCA,LENGUAZAQUE
25426,CUNDINAMARCA,MACHETÁ
25430,CUNDINAMARCA,MADRID
25436,CUNDINAMARCA,MANTA
25438,CUNDINAMARCA,MEDINA
25473,CUNDINAMARCA,MOSQUERA
25483,CUNDINAMARCA,NARIÑO
25486,CUNDINAMARCA,NEMOCÓN
25488,CUNDINAMARCA,NILO
25489,CUNDINAMARCA,NIMAIMA
25491,CUNDINAMARCA,NOCAIMA
25506,CUNDINAMARCA,VENECIA
25513,CUNDINAMARCA,PACHO
25518,CUNDINAMARCA,PAIME
25524,CUNDINAMARCA,PANDI
25530,CUNDINAMARCA,PARATEBUENO
25535,CUNDINAMARCA,PASCA
25572,CUNDINAMARCA,PUERTO SALGAR
25580,CUNDINAMARCA,PULÍ
25592,CUNDINAMARCA,QUEBRADANEGRA
25594,CUNDINAMARCA,QUETAME
25596,CUNDINAMARCA,QUÍPILE
25599,CUNDINAMARCA,APULO
25612,CUNDINAMARCA,RICAURTE
25645,CUNDINAMARCA,SAN ANTONIO DE TEQUENDAMA
25649,CUNDINAMARCA,SAN BERNARDO
25653,CUNDINAMARCA,SAN CAYETANO
25658,CUNDINAMARCA,SAN FRANCISCO
25662,CUNDINAMARCA,SAN JUAN DE RIOSECO
25718,CUNDINAMARCA,SASAIMA
25736,CUNDINAMARCA,SESQUILÉ
25740,CUNDINAMARCA,SIBATÉ
25743,CUNDINAMARCA,SILVANIA
25745,CUNDINAMARCA,SIMIJACA
25754,CUNDINAMARCA,SOACHA
25758,CUNDINAMARCA,SOPÓ
25769,CUNDINAMARCA,SUBACHOQUE
25772,CUNDINAMARCA,SUESCA
25777,CUNDINAMARCA,SUPATÁ
25779,CUNDINAMARCA,SUSA
25781,CUNDINAMARCA,SUTATAUSA
25785,CUNDINAMARCA,TABIO
25793,CUNDINAMARCA,TAUSA
25797,CUNDINAMARCA,TENA
25799,CUNDINAMARCA,TENJO
25805,CUNDINAMARCA,TIBACUY
25807,CUNDINAMARCA,TIBIRITA
25815,CUNDINAMARCA,TOCAIMA
25817,CUNDINAMARCA,TOCANCIPÁ
25823,CUNDINAMARCA,TOPAIPÍ
25839,CUNDINAMARCA,UBALÁ
25841,CUNDINAMARCA,UBAQUE
25843,CUNDINAMARCA,UBATÉ
25845,CUNDINAMARCA,UNE
25851,CUNDINAMARCA,ÚTICA
25862,CUNDINAMARCA,VERGARA
25867,CUNDINAMARCA,VIANÍ
25871,CUNDINAMARCA,VILLAGÓMEZ
25873,CUNDINAMARCA,VILLAPINZÓN
